"Pågående sjukfall efter region, kön, ålder och år"

"region";"kön";"ålder";"2014"
"2480 Umeå";"totalt";"samtliga åldrar";2465
"2481 Lycksele";"totalt";"samtliga åldrar";374
"2482 Skellefteå";"totalt";"samtliga åldrar";1466
"2505 Arvidsjaur";"totalt";"samtliga åldrar";118
"2506 Arjeplog";"totalt";"samtliga åldrar";66
"2510 Jokkmokk";"totalt";"samtliga åldrar";60
"2513 Överkalix";"totalt";"samtliga åldrar";65
"2514 Kalix";"totalt";"samtliga åldrar";346
"2518 Övertorneå";"totalt";"samtliga åldrar";76
"2521 Pajala";"totalt";"samtliga åldrar";94
"2523 Gällivare";"totalt";"samtliga åldrar";337
"2560 Älvsbyn";"totalt";"samtliga åldrar";179
"2580 Luleå";"totalt";"samtliga åldrar";1313
"2581 Piteå";"totalt";"samtliga åldrar";942
"2582 Boden";"totalt";"samtliga åldrar";527
"2583 Haparanda";"totalt";"samtliga åldrar";153
"2584 Kiruna";"totalt";"samtliga åldrar";353
