Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Lyckeby;65120;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1990-01-01 00:00:00;2016-01-31 23:59:59;25.0;56.2142;15.713

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2013-07-01 06:00:01;2013-08-01 06:00:00;2013-07;57.2;Y
2013-08-01 06:00:01;2013-09-01 06:00:00;2013-08;28.7;Y
2013-09-01 06:00:01;2013-10-01 06:00:00;2013-09;48.1;Y
2013-10-01 06:00:01;2013-11-01 06:00:00;2013-10;71.4;Y
2013-11-01 06:00:01;2013-12-01 06:00:00;2013-11;91.2;Y
2013-12-01 06:00:01;2014-01-01 06:00:00;2013-12;54.6;Y
2014-01-01 06:00:01;2014-02-01 06:00:00;2014-01;89.7;Y
2014-02-01 06:00:01;2014-03-01 06:00:00;2014-02;39.2;Y
2014-03-01 06:00:01;2014-04-01 06:00:00;2014-03;34.7;Y
2014-04-01 06:00:01;2014-05-01 06:00:00;2014-04;21.7;Y
2014-05-01 06:00:01;2014-06-01 06:00:00;2014-05;42.9;Y
2014-06-01 06:00:01;2014-07-01 06:00:00;2014-06;63.8;Y
2014-07-01 06:00:01;2014-08-01 06:00:00;2014-07;58.3;Y
2014-08-01 06:00:01;2014-09-01 06:00:00;2014-08;114.3;Y
2014-09-01 06:00:01;2014-10-01 06:00:00;2014-09;40.5;Y
2014-10-01 06:00:01;2014-11-01 06:00:00;2014-10;92.5;Y
2014-11-01 06:00:01;2014-12-01 06:00:00;2014-11;50.1;Y
2014-12-01 06:00:01;2015-01-01 06:00:00;2014-12;52.9;Y
2015-01-01 06:00:01;2015-02-01 06:00:00;2015-01;108.0;Y
2015-02-01 06:00:01;2015-03-01 06:00:00;2015-02;16.3;Y
2015-03-01 06:00:01;2015-04-01 06:00:00;2015-03;60.3;Y
2015-04-01 06:00:01;2015-05-01 06:00:00;2015-04;52.9;Y
2015-05-01 06:00:01;2015-06-01 06:00:00;2015-05;62.9;Y
2015-06-01 06:00:01;2015-07-01 06:00:00;2015-06;41.4;Y
2015-07-01 06:00:01;2015-08-01 06:00:00;2015-07;51.1;Y
2015-08-01 06:00:01;2015-09-01 06:00:00;2015-08;14.6;Y
2015-09-01 06:00:01;2015-10-01 06:00:00;2015-09;50.0;Y
2015-10-01 06:00:01;2015-11-01 06:00:00;2015-10;8.3;Y
2015-11-01 06:00:01;2015-12-01 06:00:00;2015-11;116.6;Y
