Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Visby D;78390;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1880-11-01 06:00:01;1880-12-01 06:00:00;1880-11;69.0;G
1880-12-01 06:00:01;1881-01-01 06:00:00;1880-12;62.0;G
1881-01-01 06:00:01;1881-02-01 06:00:00;1881-01;26.0;G
1881-02-01 06:00:01;1881-03-01 06:00:00;1881-02;49.0;G
1881-03-01 06:00:01;1881-04-01 06:00:00;1881-03;42.0;G
1881-04-01 06:00:01;1881-05-01 06:00:00;1881-04;18.0;G
1881-05-01 06:00:01;1881-06-01 06:00:00;1881-05;27.0;G
1881-06-01 06:00:01;1881-07-01 06:00:00;1881-06;44.0;G
1881-07-01 06:00:01;1881-08-01 06:00:00;1881-07;18.0;G
1881-08-01 06:00:01;1881-09-01 06:00:00;1881-08;56.0;G
1881-09-01 06:00:01;1881-10-01 06:00:00;1881-09;77.0;G
1881-10-01 06:00:01;1881-11-01 06:00:00;1881-10;75.0;G
1881-11-01 06:00:01;1881-12-01 06:00:00;1881-11;34.0;G
1881-12-01 06:00:01;1882-01-01 06:00:00;1881-12;40.0;G
1882-01-01 06:00:01;1882-02-01 06:00:00;1882-01;28.0;G
1882-02-01 06:00:01;1882-03-01 06:00:00;1882-02;27.0;G
1882-03-01 06:00:01;1882-04-01 06:00:00;1882-03;27.0;G
1882-04-01 06:00:01;1882-05-01 06:00:00;1882-04;21.0;G
1882-05-01 06:00:01;1882-06-01 06:00:00;1882-05;22.0;G
1882-06-01 06:00:01;1882-07-01 06:00:00;1882-06;28.0;G
1882-07-01 06:00:01;1882-08-01 06:00:00;1882-07;84.0;G
1882-08-01 06:00:01;1882-09-01 06:00:00;1882-08;57.0;G
1882-09-01 06:00:01;1882-10-01 06:00:00;1882-09;26.0;G
1882-10-01 06:00:01;1882-11-01 06:00:00;1882-10;37.0;G
1882-11-01 06:00:01;1882-12-01 06:00:00;1882-11;78.0;G
1882-12-01 06:00:01;1883-01-01 06:00:00;1882-12;48.0;G
1883-01-01 06:00:01;1883-02-01 06:00:00;1883-01;34.0;G
1883-02-01 06:00:01;1883-03-01 06:00:00;1883-02;15.0;G
1883-03-01 06:00:01;1883-04-01 06:00:00;1883-03;46.0;G
1883-04-01 06:00:01;1883-05-01 06:00:00;1883-04;11.0;G
1883-05-01 06:00:01;1883-06-01 06:00:00;1883-05;36.0;G
1883-06-01 06:00:01;1883-07-01 06:00:00;1883-06;59.0;G
1883-07-01 06:00:01;1883-08-01 06:00:00;1883-07;99.0;G
1883-08-01 06:00:01;1883-09-01 06:00:00;1883-08;62.0;G
1883-09-01 06:00:01;1883-10-01 06:00:00;1883-09;60.0;G
1883-10-01 06:00:01;1883-11-01 06:00:00;1883-10;59.0;G
1883-11-01 06:00:01;1883-12-01 06:00:00;1883-11;97.0;G
1883-12-01 06:00:01;1884-01-01 06:00:00;1883-12;47.0;G
1884-01-01 06:00:01;1884-02-01 06:00:00;1884-01;38.0;G
1884-02-01 06:00:01;1884-03-01 06:00:00;1884-02;37.0;G
1884-03-01 06:00:01;1884-04-01 06:00:00;1884-03;28.0;G
1884-04-01 06:00:01;1884-05-01 06:00:00;1884-04;13.0;G
1884-05-01 06:00:01;1884-06-01 06:00:00;1884-05;21.0;G
1884-06-01 06:00:01;1884-07-01 06:00:00;1884-06;66.0;G
1884-07-01 06:00:01;1884-08-01 06:00:00;1884-07;66.0;G
1884-08-01 06:00:01;1884-09-01 06:00:00;1884-08;9.0;G
1884-09-01 06:00:01;1884-10-01 06:00:00;1884-09;6.0;G
1884-10-01 06:00:01;1884-11-01 06:00:00;1884-10;60.0;G
1884-11-01 06:00:01;1884-12-01 06:00:00;1884-11;36.0;G
1884-12-01 06:00:01;1885-01-01 06:00:00;1884-12;67.0;G
1885-01-01 06:00:01;1885-02-01 06:00:00;1885-01;26.0;G
1885-02-01 06:00:01;1885-03-01 06:00:00;1885-02;38.0;G
1885-03-01 06:00:01;1885-04-01 06:00:00;1885-03;20.0;G
1885-04-01 06:00:01;1885-05-01 06:00:00;1885-04;24.0;G
1885-05-01 06:00:01;1885-06-01 06:00:00;1885-05;49.0;G
1885-06-01 06:00:01;1885-07-01 06:00:00;1885-06;14.0;G
1885-07-01 06:00:01;1885-08-01 06:00:00;1885-07;29.0;G
1885-08-01 06:00:01;1885-09-01 06:00:00;1885-08;131.0;G
1885-09-01 06:00:01;1885-10-01 06:00:00;1885-09;41.0;G
1885-10-01 06:00:01;1885-11-01 06:00:00;1885-10;156.0;G
1885-11-01 06:00:01;1885-12-01 06:00:00;1885-11;22.0;G
1885-12-01 06:00:01;1886-01-01 06:00:00;1885-12;33.0;G
1886-01-01 06:00:01;1886-02-01 06:00:00;1886-01;55.0;G
1886-02-01 06:00:01;1886-03-01 06:00:00;1886-02;16.0;G
1886-03-01 06:00:01;1886-04-01 06:00:00;1886-03;10.0;G
1886-04-01 06:00:01;1886-05-01 06:00:00;1886-04;43.0;G
1886-05-01 06:00:01;1886-06-01 06:00:00;1886-05;13.0;G
1886-06-01 06:00:01;1886-07-01 06:00:00;1886-06;41.0;G
1886-07-01 06:00:01;1886-08-01 06:00:00;1886-07;37.0;G
1886-08-01 06:00:01;1886-09-01 06:00:00;1886-08;11.0;G
1886-09-01 06:00:01;1886-10-01 06:00:00;1886-09;39.0;G
1886-10-01 06:00:01;1886-11-01 06:00:00;1886-10;24.0;G
1886-11-01 06:00:01;1886-12-01 06:00:00;1886-11;64.0;G
1886-12-01 06:00:01;1887-01-01 06:00:00;1886-12;68.0;G
1887-01-01 06:00:01;1887-02-01 06:00:00;1887-01;24.0;G
1887-02-01 06:00:01;1887-03-01 06:00:00;1887-02;7.0;G
1887-03-01 06:00:01;1887-04-01 06:00:00;1887-03;19.0;G
1887-04-01 06:00:01;1887-05-01 06:00:00;1887-04;22.0;G
1887-05-01 06:00:01;1887-06-01 06:00:00;1887-05;57.0;G
1887-06-01 06:00:01;1887-07-01 06:00:00;1887-06;40.0;G
1887-07-01 06:00:01;1887-08-01 06:00:00;1887-07;28.0;G
1887-08-01 06:00:01;1887-09-01 06:00:00;1887-08;30.0;G
1887-09-01 06:00:01;1887-10-01 06:00:00;1887-09;38.0;G
1887-10-01 06:00:01;1887-11-01 06:00:00;1887-10;69.0;G
1887-11-01 06:00:01;1887-12-01 06:00:00;1887-11;57.0;G
