Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Kållered D;72360;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1994-04-01 00:00:00;2016-03-02 09:00:00;30.0;57.6095;12.0673

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2007-02-01 06:00:01;2007-03-01 06:00:00;2007-02;39.7;Y
2007-03-01 06:00:01;2007-04-01 06:00:00;2007-03;73.0;Y
2007-04-01 06:00:01;2007-05-01 06:00:00;2007-04;42.9;Y
2007-05-01 06:00:01;2007-06-01 06:00:00;2007-05;82.8;Y
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;140.5;Y
2007-07-01 06:00:01;2007-08-01 06:00:00;2007-07;180.5;Y
2007-08-01 06:00:01;2007-09-01 06:00:00;2007-08;108.1;Y
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;121.9;Y
2007-10-01 06:00:01;2007-11-01 06:00:00;2007-10;46.6;Y
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;87.5;Y
2007-12-01 06:00:01;2008-01-01 06:00:00;2007-12;113.3;Y
2008-01-01 06:00:01;2008-02-01 06:00:00;2008-01;176.3;Y
2008-02-01 06:00:01;2008-03-01 06:00:00;2008-02;89.4;Y
2008-03-01 06:00:01;2008-04-01 06:00:00;2008-03;127.3;Y
2008-04-01 06:00:01;2008-05-01 06:00:00;2008-04;37.2;Y
2008-05-01 06:00:01;2008-06-01 06:00:00;2008-05;15.2;Y
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;74.9;Y
2008-07-01 06:00:01;2008-08-01 06:00:00;2008-07;113.4;Y
2008-08-01 06:00:01;2008-09-01 06:00:00;2008-08;174.7;Y
2008-09-01 06:00:01;2008-10-01 06:00:00;2008-09;102.7;Y
2008-10-01 06:00:01;2008-11-01 06:00:00;2008-10;150.8;Y
2008-11-01 06:00:01;2008-12-01 06:00:00;2008-11;106.9;Y
2008-12-01 06:00:01;2009-01-01 06:00:00;2008-12;48.8;Y
2009-01-01 06:00:01;2009-02-01 06:00:00;2009-01;70.3;Y
2009-02-01 06:00:01;2009-03-01 06:00:00;2009-02;39.4;Y
2009-03-01 06:00:01;2009-04-01 06:00:00;2009-03;60.9;Y
2009-04-01 06:00:01;2009-05-01 06:00:00;2009-04;12.0;Y
2009-05-01 06:00:01;2009-06-01 06:00:00;2009-05;91.4;Y
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;61.6;Y
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;185.1;Y
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;104.6;Y
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;76.4;Y
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;93.8;Y
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;140.4;Y
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;59.3;Y
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;36.9;Y
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;60.0;Y
2010-03-01 06:00:01;2010-04-01 06:00:00;2010-03;49.3;Y
2010-04-01 06:00:01;2010-05-01 06:00:00;2010-04;26.3;Y
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;40.1;Y
2010-06-01 06:00:01;2010-07-01 06:00:00;2010-06;50.5;Y
2010-07-01 06:00:01;2010-08-01 06:00:00;2010-07;148.5;Y
2010-08-01 06:00:01;2010-09-01 06:00:00;2010-08;144.4;Y
2010-09-01 06:00:01;2010-10-01 06:00:00;2010-09;72.0;Y
2010-10-01 06:00:01;2010-11-01 06:00:00;2010-10;137.2;Y
2010-11-01 06:00:01;2010-12-01 06:00:00;2010-11;93.2;Y
2010-12-01 06:00:01;2011-01-01 06:00:00;2010-12;49.9;Y
2011-01-01 06:00:01;2011-02-01 06:00:00;2011-01;81.4;Y
2011-02-01 06:00:01;2011-03-01 06:00:00;2011-02;70.5;Y
2011-03-01 06:00:01;2011-04-01 06:00:00;2011-03;42.4;Y
2011-04-01 06:00:01;2011-05-01 06:00:00;2011-04;30.2;Y
2011-05-01 06:00:01;2011-06-01 06:00:00;2011-05;61.0;Y
2011-06-01 06:00:01;2011-07-01 06:00:00;2011-06;63.5;Y
2011-07-01 06:00:01;2011-08-01 06:00:00;2011-07;145.0;Y
2011-08-01 06:00:01;2011-09-01 06:00:00;2011-08;187.3;Y
2011-09-01 06:00:01;2011-10-01 06:00:00;2011-09;149.2;Y
2011-10-01 06:00:01;2011-11-01 06:00:00;2011-10;115.5;Y
2011-11-01 06:00:01;2011-12-01 06:00:00;2011-11;38.1;Y
2011-12-01 06:00:01;2012-01-01 06:00:00;2011-12;160.3;Y
2012-01-01 06:00:01;2012-02-01 06:00:00;2012-01;98.3;Y
2012-02-01 06:00:01;2012-03-01 06:00:00;2012-02;63.9;Y
2012-03-01 06:00:01;2012-04-01 06:00:00;2012-03;15.0;Y
2012-04-01 06:00:01;2012-05-01 06:00:00;2012-04;89.9;Y
2012-05-01 06:00:01;2012-06-01 06:00:00;2012-05;72.8;Y
2012-06-01 06:00:01;2012-07-01 06:00:00;2012-06;106.0;Y
2012-07-01 06:00:01;2012-08-01 06:00:00;2012-07;111.9;Y
2012-08-01 06:00:01;2012-09-01 06:00:00;2012-08;106.5;Y
2012-09-01 06:00:01;2012-10-01 06:00:00;2012-09;165.5;Y
2012-10-01 06:00:01;2012-11-01 06:00:00;2012-10;160.2;Y
2012-11-01 06:00:01;2012-12-01 06:00:00;2012-11;109.0;Y
2012-12-01 06:00:01;2013-01-01 06:00:00;2012-12;88.7;Y
2013-01-01 06:00:01;2013-02-01 06:00:00;2013-01;51.6;Y
2013-02-01 06:00:01;2013-03-01 06:00:00;2013-02;22.7;Y
2013-03-01 06:00:01;2013-04-01 06:00:00;2013-03;4.6;Y
2013-04-01 06:00:01;2013-05-01 06:00:00;2013-04;51.2;Y
2013-05-01 06:00:01;2013-06-01 06:00:00;2013-05;69.8;Y
2013-06-01 06:00:01;2013-07-01 06:00:00;2013-06;143.7;Y
2013-07-01 06:00:01;2013-08-01 06:00:00;2013-07;53.4;Y
2013-08-01 06:00:01;2013-09-01 06:00:00;2013-08;69.5;Y
2013-09-01 06:00:01;2013-10-01 06:00:00;2013-09;72.9;Y
2013-10-01 06:00:01;2013-11-01 06:00:00;2013-10;113.1;Y
2013-11-01 06:00:01;2013-12-01 06:00:00;2013-11;83.2;Y
2013-12-01 06:00:01;2014-01-01 06:00:00;2013-12;172.8;Y
2014-01-01 06:00:01;2014-02-01 06:00:00;2014-01;82.1;Y
2014-02-01 06:00:01;2014-03-01 06:00:00;2014-02;117.7;Y
2014-03-01 06:00:01;2014-04-01 06:00:00;2014-03;29.8;Y
2014-04-01 06:00:01;2014-05-01 06:00:00;2014-04;57.5;Y
2014-05-01 06:00:01;2014-06-01 06:00:00;2014-05;83.9;Y
2014-06-01 06:00:01;2014-07-01 06:00:00;2014-06;70.9;Y
2014-07-01 06:00:01;2014-08-01 06:00:00;2014-07;80.6;Y
2014-08-01 06:00:01;2014-09-01 06:00:00;2014-08;144.9;Y
2014-09-01 06:00:01;2014-10-01 06:00:00;2014-09;65.2;Y
2014-10-01 06:00:01;2014-11-01 06:00:00;2014-10;154.6;Y
2014-11-01 06:00:01;2014-12-01 06:00:00;2014-11;69.4;Y
2014-12-01 06:00:01;2015-01-01 06:00:00;2014-12;138.4;Y
2015-01-01 06:00:01;2015-02-01 06:00:00;2015-01;178.4;Y
2015-02-01 06:00:01;2015-03-01 06:00:00;2015-02;34.5;Y
2015-03-01 06:00:01;2015-04-01 06:00:00;2015-03;71.2;Y
2015-04-01 06:00:01;2015-05-01 06:00:00;2015-04;58.2;Y
2015-05-01 06:00:01;2015-06-01 06:00:00;2015-05;126.7;Y
2015-06-01 06:00:01;2015-07-01 06:00:00;2015-06;71.9;Y
2015-07-01 06:00:01;2015-08-01 06:00:00;2015-07;105.7;Y
2015-08-01 06:00:01;2015-09-01 06:00:00;2015-08;99.5;Y
2015-09-01 06:00:01;2015-10-01 06:00:00;2015-09;98.7;Y
2015-10-01 06:00:01;2015-11-01 06:00:00;2015-10;16.0;Y
2015-11-01 06:00:01;2015-12-01 06:00:00;2015-11;161.8;Y
