Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Stockholm;98210;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1786-02-01 00:00:00;2016-03-02 10:00:00;44.0;59.342;18.0575

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1799-11-01 06:00:01;1799-12-01 06:00:00;1799-11;55.0;G
1799-12-02 06:00:01;1800-01-01 06:00:00;1799-12;18.0;G
1800-01-02 06:00:01;1800-02-01 06:00:00;1800-01;46.0;G
1800-01-30 06:00:01;1800-03-01 06:00:00;1800-02;14.0;G
1800-03-02 06:00:01;1800-04-01 06:00:00;1800-03;18.0;G
1800-04-01 06:00:01;1800-05-01 06:00:00;1800-04;51.0;G
1800-05-02 06:00:01;1800-06-01 06:00:00;1800-05;65.0;G
1800-06-01 06:00:01;1800-07-01 06:00:00;1800-06;103.0;G
1800-07-02 06:00:01;1800-08-01 06:00:00;1800-07;123.0;G
1800-08-02 06:00:01;1800-09-01 06:00:00;1800-08;20.0;G
1800-09-01 06:00:01;1800-10-01 06:00:00;1800-09;24.0;G
1800-10-02 06:00:01;1800-11-01 06:00:00;1800-10;9.0;G
1800-11-01 06:00:01;1800-12-01 06:00:00;1800-11;164.0;G
1800-12-02 06:00:01;1801-01-01 06:00:00;1800-12;65.0;G
1801-01-02 06:00:01;1801-02-01 06:00:00;1801-01;36.0;G
1801-01-30 06:00:01;1801-03-01 06:00:00;1801-02;19.0;G
1801-03-02 06:00:01;1801-04-01 06:00:00;1801-03;65.0;G
1801-04-01 06:00:01;1801-05-01 06:00:00;1801-04;25.0;G
1801-05-02 06:00:01;1801-06-01 06:00:00;1801-05;21.0;G
1801-06-01 06:00:01;1801-07-01 06:00:00;1801-06;62.0;G
1801-07-02 06:00:01;1801-08-01 06:00:00;1801-07;53.0;G
1801-08-02 06:00:01;1801-09-01 06:00:00;1801-08;38.0;G
1801-09-01 06:00:01;1801-10-01 06:00:00;1801-09;24.0;G
1801-10-02 06:00:01;1801-11-01 06:00:00;1801-10;46.0;G
