Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Väse D;93210;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1972-08-01 00:00:00;2016-02-29 23:59:59;55.0;59.3675;13.8534

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1994-04-01 06:00:01;1994-05-01 06:00:00;1994-04;39.6;Y
1994-05-01 06:00:01;1994-06-01 06:00:00;1994-05;1.7;Y
1994-06-01 06:00:01;1994-07-01 06:00:00;1994-06;38.5;Y
1994-07-01 06:00:01;1994-08-01 06:00:00;1994-07;4.2;Y
1994-08-01 06:00:01;1994-09-01 06:00:00;1994-08;114.3;Y
1994-09-01 06:00:01;1994-10-01 06:00:00;1994-09;106.7;Y
1994-10-01 06:00:01;1994-11-01 06:00:00;1994-10;52.4;Y
1994-11-01 06:00:01;1994-12-01 06:00:00;1994-11;38.7;Y
1994-12-01 06:00:01;1995-01-01 06:00:00;1994-12;73.6;Y
1995-01-01 06:00:01;1995-02-01 06:00:00;1995-01;57.3;Y
1995-02-01 06:00:01;1995-03-01 06:00:00;1995-02;56.6;Y
1995-03-01 06:00:01;1995-04-01 06:00:00;1995-03;45.5;Y
1995-04-01 06:00:01;1995-05-01 06:00:00;1995-04;66.6;Y
1995-05-01 06:00:01;1995-06-01 06:00:00;1995-05;55.7;Y
1995-06-01 06:00:01;1995-07-01 06:00:00;1995-06;74.3;Y
1995-07-01 06:00:01;1995-08-01 06:00:00;1995-07;71.2;Y
1995-08-01 06:00:01;1995-09-01 06:00:00;1995-08;45.6;Y
1995-09-01 06:00:01;1995-10-01 06:00:00;1995-09;60.7;Y
1995-10-01 06:00:01;1995-11-01 06:00:00;1995-10;38.2;Y
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;22.9;Y
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;11.9;Y
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;4.7;Y
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;19.2;Y
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;15.7;Y
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;13.9;Y
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;41.3;Y
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;73.9;Y
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;31.2;Y
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;35.6;Y
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;47.9;Y
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;61.7;Y
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;95.1;Y
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;26.6;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;11.5;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;72.3;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;12.9;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;7.9;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;110.4;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;45.7;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;60.8;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;96.7;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;64.0;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;36.7;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;72.0;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;74.1;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;39.6;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;48.6;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;20.4;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;38.8;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;42.8;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;115.4;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;70.8;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;88.5;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;65.7;Y
